シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,番号（補助率等）,補助対象,補助率,補助上限等,補助率URL
レビューシート,2024,698,住民基本台帳ネットワークシステムセキュリティ対策経費,15,総務省,総務省,自治行政局,,住民制度課,,,,,,,,
レビューシート,2024,699,地方行政情報化に関する一般事務・災害時等における情報通信メディアの活用に要する経費,15,総務省,総務省,自治行政局,,地域政策課,地域情報化企画室,,,,,,,
レビューシート,2024,700,電磁的記録式投票導入支援経費,15,総務省,総務省,自治行政局,選挙部,管理課,,,,,,,,
レビューシート,2024,704,社会保障・税番号制度の導入及び利活用の検討に要する経費／（個人番号カードの普及・利活用に要する経費）,15,総務省,総務省,自治行政局,,住民制度課,マイナンバー制度支援室,,,,,,,
レビューシート,2024,706,マイナンバーカードの発行・交付に要する経費,15,総務省,総務省,自治行政局,,住民制度課,マイナンバー制度支援室,,,1,マイナンバーカードの発行・交付に係る経費に対する補助,'100,なし,
レビューシート,2024,707,番号制度の実施に必要なシステム整備等事業,15,総務省,総務省,自治行政局,,住民制度課,マイナンバー制度支援室,,,,,,,
レビューシート,2024,709,自治体情報セキュリティ強化対策事業,15,総務省,総務省,自治行政局,,住民制度課,デジタル基盤推進室,,,,,,,
レビューシート,2024,710,在外選挙人の投票環境の向上のために必要な経費,15,総務省,総務省,自治行政局,選挙部,管理課,,,,,,,,
レビューシート,2024,712,マイナンバーカード・公的個人認証の海外継続利用に要する経費,15,総務省,総務省,自治行政局,,住民制度課,マイナンバー制度支援室,,,,,,,
レビューシート,2024,713,RPAの導入に要する経費,15,総務省,総務省,自治財政局,,財政課,総務室,,,,,,,
レビューシート,2024,715,デジタル基盤改革支援補助金,15,総務省,総務省,自治行政局,,住民制度課,デジタル基盤推進室,,,1,オンライン手続の推進（マイナポータル）,'国費1/2,250億円 【基金（令和４年度まで）】,
レビューシート,2024,715,デジタル基盤改革支援補助金,15,総務省,総務省,自治行政局,,住民制度課,デジタル基盤推進室,,,2,次期自治体情報セキュリティクラウドへの移行,'国費1/2,29億円 【基金（令和４年度まで）】,
レビューシート,2024,715,デジタル基盤改革支援補助金,15,総務省,総務省,自治行政局,,住民制度課,デジタル基盤推進室,,,3,自治体情報システムの標準化・共通化,'国費10/10,"7,182億円 【基金（令和７年度まで）】",
レビューシート,2024,716,戦略的情報通信研究開発推進事業,15,総務省,総務省,国際戦略局,,技術政策課,,,,,,,,
レビューシート,2024,717,ICTアクセシビリティ推進事業／（旧：デジタル活用共生社会推進事業）,15,総務省,総務省,情報流通行政局,,情報流通振興課,情報活用支援室,,,,,,,
レビューシート,2024,719,医療・介護・健康データ利活用基盤高度化事業（医療研究開発推進事業費補助金）,15,総務省,総務省,情報流通行政局,,地域通信振興課,デジタル経済推進室,,,1,国立研究開発法人日本医療研究開発機構,'定額補助,,
レビューシート,2024,720,ナショナルサイバートレーニングセンターの強化,15,総務省,総務省,サイバーセキュリティ統括官室,,,,,,1,,'NICTが実施するCYDER、SecHack365及びCIDLEに係る取組について、当該経費を補助【補助率：100％】,,
レビューシート,2024,721,衛星通信における量子暗号技術の研究開発,15,総務省,総務省,国際戦略局,,宇宙通信政策課,,,,,,,,
レビューシート,2024,726,グローバル量子暗号通信網構築のための研究開発,15,総務省,総務省,国際戦略局,,技術政策課,研究推進室,,,,,,,
レビューシート,2024,727,多言語翻訳技術の高度化に関する研究開発,15,総務省,総務省,国際戦略局,,技術政策課,研究推進室,,,,,,,
レビューシート,2024,728,Beyond 5G研究開発促進事業,15,総務省,総務省,国際戦略局,,技術政策課,,,,1,NICT,'100%,,
レビューシート,2024,729,サイバーセキュリティ統合知的・人材育成基盤の構築／（令和５年度第一次補正においては実践的サイバーセキュリティ人材育成の拡充）,15,総務省,総務省,サイバーセキュリティ統括官室,,,,,,1,,'全額を国からNICTへの定額補助（直接補助）として交付。,,
レビューシート,2024,730,地域情報化の推進（本省）,15,総務省,総務省,情報流通行政局,,地域通信振興課,,,,,,,,
レビューシート,2024,731,通信・放送分野における情報バリアフリー促進支援事業　（令和５年度第一次補正においては情報アクセシビリティ支援ナビ（Act-navi）の大規模機能強化事業、令和６年度補正・令和７年度要求では、アクセシブルなICT機器等の総合的な開発普及推進事業）,15,総務省,総務省,情報流通行政局,,情報流通振興課,情報活用支援室,,,1,情報バリアフリー役務提供事業推進助成金交付業務、デジタル・ディバイド解消のための技術等研究開発推進事業,'①国立研究開発法人情報通信研究機構（NICT）が、初年度は当該助成対象経費の額の２分の１に相当する額を限度として助成。ただし、初回の助成に限り当該助成対象経費の額の３分の２に相当する額を限度とする。②別途応募要領で定める設定テーマ型事業については資本金の額が1億円以下であり、別途応募要領で定める規模の企業からの出資がない企業等、大学等は３分の２以内（初年度のみ１０分の１０以内）とし、上記以外は２分の１以内（初年度のみ３分の２以内）を助成。設定テーマ型以外の事業については、必要な経費の２分の１を上限として助成。,"①20,000千円（初年度のみ：15,000千円）②20,000千円",
レビューシート,2024,732,字幕番組、解説番組、手話番組等の制作促進,15,総務省,総務省,情報流通行政局,,地上放送課,,,,1,字幕番組、解説番組及び手話番組を制作する事業者に対し、字幕等の付与に係る経費の一部を補助,'定額,最大50%,https://www2.nict.go.jp/barrierfree/102/index.html
レビューシート,2024,732,字幕番組、解説番組、手話番組等の制作促進,15,総務省,総務省,情報流通行政局,,地上放送課,,,,2,手話翻訳映像を制作して提供する事業者に対して、手話翻訳映像の制作・提供に係る経費の一部を補助,'定額,最大50%,https://www2.nict.go.jp/barrierfree/106/index.html
レビューシート,2024,732,字幕番組、解説番組、手話番組等の制作促進,15,総務省,総務省,情報流通行政局,,地上放送課,,,,3,生放送番組に字幕をリアルタイムで付与するための機器等の整備に係る経費の一部を補助,'定額,最大50%,https://www2.nict.go.jp/barrierfree/108/index.html
レビューシート,2024,735,情報通信政策のための総合的な調査研究,15,総務省,総務省,情報流通行政局,,情報通信政策課,情報通信経済室,,,,,,,
レビューシート,2024,736,情報流通環境の実態把握及び課題抽出に係る調査研究／（旧：ＩＣＴリテラシー向上の総合的な推進に関する調査研究）,15,総務省,総務省,情報流通行政局,,情報流通振興課,,,,,,,,
レビューシート,2024,737,地域情報化の推進（地方）（令和７年度要求では、地域情報化の推進）,15,総務省,総務省,情報流通行政局,,地域通信振興課,,,,,,,,
レビューシート,2024,738,地域課題解決のためのスマートシティ推進事業,15,総務省,総務省,情報流通行政局,,地域通信振興課,,,,1,地方公共団体、民間事業者等,'事業費総額の１／２以内。※補助事業に係る事業費の下限は３００万円。,なし,https://www.soumu.go.jp/main_content/000941481.pdf
レビューシート,2024,740,地域防災のためのLアラート情報とG空間情報の連携推進／（旧：地域防災等のためのＧ空間情報の利活用推進）,15,総務省,総務省,情報流通行政局,,地域通信振興課,,,,,,,,
レビューシート,2024,741,行政の管理に係る国際機関等との連絡調整事務,15,総務省,総務省,行政管理局,,調査法制課,,,,,,,,
レビューシート,2024,743,放送コンテンツによる地域情報発信力強化事業／（旧　放送コンテンツ海外展開強化事業）,15,総務省,総務省,情報流通行政局,,情報通信作品振興課,放送コンテンツ海外流通推進室,,,1,コンテンツの制作に係る費用　等,'補助率1／２,最大40百万円,
レビューシート,2024,744,情報信託機能活用促進事業,15,総務省,総務省,情報流通行政局,,地域通信振興課,デジタル経済推進室,,,,,,,
レビューシート,2024,747,テレワーク普及展開推進事業,15,総務省,総務省,情報流通行政局,,地域通信振興課,,,,,,,,
レビューシート,2024,748,ＡＩネットワークにおけるデータ利活用の促進に関する調査研究（令和３年度までは「ＡＩネットワーク化の進展等に関する調査研究」として実施）,15,総務省,総務省,情報流通行政局,,,参事官,,,,,,,
レビューシート,2024,756,国際見本市を通じた放送コンテンツの海外展開,15,総務省,総務省,情報流通行政局,,情報通信作品振興課,放送コンテンツ海外流通推進室,,,,,,,
レビューシート,2024,759,旧日本赤十字社救護看護婦処遇等経費,15,総務省,総務省,大臣官房,,総務課,管理室,,,1,民間団体,'定額補助,,
レビューシート,2024,761,サイバーセキュリティ政策に関する調査研究,15,総務省,総務省,サイバーセキュリティ統括官室,,,,,,,,,,
レビューシート,2024,763,一般戦災死没者の慰霊事業経費,15,総務省,総務省,大臣官房,,総務課,管理室,,,,,,,
レビューシート,2024,769,デジタル活用支援推進事業／（令和３年度当初予算は「デジタル活用環境構築推進事業」）,15,総務省,総務省,情報流通行政局,,情報流通振興課,,,,1,民間団体等,'定額補助,,
レビューシート,2024,770,放送ネットワーク整備支援事業,15,総務省,総務省,情報流通行政局,,衛星・地域放送課,地域放送推進室,,,1,①都道府県、市町村又は都道府県若しくは市町村の連携主体、第三セクター、地上基幹放送事業者等又は一般社団法人等②（地域ケーブルテレビネットワーク整備事業）市町村及び市町村の連携主体（承継事業者）、第三セクター（承継事業者）（共聴施設ネットワーク強靱化支援事業）市町村及び市町村の連携主体,'①都道府県、市町村又は都道府県若しくは市町村の連携主体：１／２　・　第三セクター、地上基幹放送事業者等又は一般社団法人等：１／３　　②（地域ケーブルテレビネットワーク整備事業）市町村及び市町村の連携主体（承継事業者）：１／２　・　第三セクター（承継事業者）：１／３   （共聴施設ネットワーク強靱化支援事業）市町村及び市町村の連携主体：１／２,,
レビューシート,2024,771,放送政策に関する調査研究,15,総務省,総務省,情報流通行政局,,放送政策課,,,,,,,,
レビューシート,2024,772,国際放送の実施,15,総務省,総務省,情報流通行政局,,放送政策課,,,,,,,,
レビューシート,2024,773,地域ＩＣＴ強靱化事業（本省）,15,総務省,総務省,情報流通行政局,,地上放送課,,,,,,,,
レビューシート,2024,774,「新たな日常」の定着に向けたケーブルテレビ光化による耐災害性強化事業（令和６年度当初予算では、ケーブルテレビネットワーク光化等による耐災害性強化事業、令和６年度補正・令和７年度要求では、ケーブルテレビネットワークの耐災害性強化事業）,15,総務省,総務省,情報流通行政局,,衛星・地域放送課,地域放送推進室,,,1,市町村及び市町村の連携主体（承継事業者）、第三セクター法人（承継事業者）,'市町村及び市町村の連携主体（承継事業者）：１／２（財政力指数0.5超の自治体は１／３。光化された公設ネットワークの民設移行に伴う承継事業者による整備は１／３。）第三セクター法人（承継事業者）：１／３令和6年度能登半島地震に係る災害復旧枠：２／３,,
レビューシート,2024,776,放送コンテンツ製作取引における相談・紛争解決促進事業,15,総務省,総務省,情報流通行政局,,情報通信作品振興課,,,,,,,,
レビューシート,2024,779,電気通信事業分野における事業環境の整備のための調査研究,15,総務省,総務省,総合通信基盤局,電気通信事業部,事業政策課,,,,,,,,
レビューシート,2024,780,電気通信事業分野における消費者利益確保のための事務経費,15,総務省,総務省,総合通信基盤局,電気通信事業部,利用環境課,,,,,,,,
レビューシート,2024,781,電気通信事業分野における安全・相互接続性確保のための事務経費,15,総務省,総務省,総合通信基盤局,電気通信事業部,電気通信技術システム課,,,,,,,,
レビューシート,2024,782,電気通信消費者権利の保障等推進経費（地方）,15,総務省,総務省,総合通信基盤局,電気通信事業部,料金サービス課,消費者契約適正化推進室,,,,,,,
レビューシート,2024,786,電波の監視等に必要な経費,15,総務省,総務省,総合通信基盤局,電波部,電波環境課,監視管理室,,,,,,,
レビューシート,2024,787,総合無線局監理システムの構築と運用,15,総務省,総務省,総合通信基盤局,電波部,電波政策課,電波利用料企画室,,,,,,,
レビューシート,2024,788,総合無線局監理システムの制度改正等対応,15,総務省,総務省,総合通信基盤局,電波部,電波政策課,電波利用料企画室,,,,,,,
レビューシート,2024,789,電波の安全性に関する調査及び評価技術,15,総務省,総務省,総合通信基盤局,電波部,電波環境課,,,,,,,,
レビューシート,2024,790,無線システム普及支援事業（携帯電話等エリア整備事業）,15,総務省,総務省,総合通信基盤局,電波部,移動通信課,,,,1,基地局施設（鉄塔、局舎、無線設備等）高度化施設（５Ｇ等の無線設備等）伝送路施設の運用（中継回線事業者の設備の10年間分の使用料）伝送路施設の設置（光ファイバ等）,'１／２、２／３等,ー,https://www.tele.soumu.go.jp/j/sys/fees/purpose/keitai/index.htm
レビューシート,2024,791,無線システム普及支援事業（地上デジタル放送への円滑な移行のための環境整備・支援）,15,総務省,総務省,情報流通行政局,,地上放送課,,,,1,民間団体等,'①補助率：10/10②補助率：1/2、2/3、10/10③補助率：10/10,,
レビューシート,2024,792,電波遮へい対策事業（トンネル等）,15,総務省,総務省,総合通信基盤局,電波部,移動通信課,,,,1,移動通信用中継施設（鉄塔、局舎、アンテナ、光ケーブル等）,'１／２、１／３等,ー,https://www.tele.soumu.go.jp/j/sys/fees/purpose/syahei/index.htm
レビューシート,2024,793,周波数の使用等に関するリテラシーの向上,15,総務省,総務省,総合通信基盤局,電波部,電波環境課,,,,,,,,
レビューシート,2024,794,電波資源拡大のための研究開発,15,総務省,総務省,総合通信基盤局,電波部,電波政策課,,,開発係,,,,,
レビューシート,2024,795,周波数逼迫対策技術試験事務,15,総務省,総務省,総合通信基盤局,電波部,電波政策課,,,開発係,,,,,
レビューシート,2024,796,無線技術等の国際標準化のための国際機関等との連絡調整事務,15,総務省,総務省,総合通信基盤局,電波部,電波政策課,国際周波数政策室,,,,,,,
レビューシート,2024,797,周波数の国際協調利用促進事業,15,総務省,総務省,総合通信基盤局,電波部,基幹・衛星移動通信課,,,,,,,,
レビューシート,2024,798,標準電波による無線局への高精度周波数の提供,15,総務省,総務省,国際戦略局,,技術政策課,,,,,,,,
レビューシート,2024,799,無線システム普及支援事業(民放ラジオ難聴解消支援事業),15,総務省,総務省,情報流通行政局,,地上放送課,,,,1,補助対象：　難聴対策としてのラジオ中継局整備,'事業主体：　民間ラジオ放送事業者、地方公共団体等補助率：　①地理的・地形的難聴、外国波混信　２／３、②都市型難聴　１／２,,
レビューシート,2024,805,電波伝搬の観測・分析等の推進,15,総務省,総務省,国際戦略局,,宇宙通信政策課,,,,,,,,
レビューシート,2024,806,無線システム普及支援事業（高度無線環境整備推進事業）,15,総務省,総務省,総合通信基盤局,電気通信事業部,基盤整備促進課,,,,1,地方公共団体、民間団体等,'自治体が整備する場合　（離島）4/5、（その他の条件不利地域）1/2民間事業者等が整備する場合　（離島）4/5又は3/4、（その他の条件不利地域）3/4離島地域の光ファイバ等の維持管理補助　収支赤字の1/2 等,,https://www.tele.soumu.go.jp/j/sys/fees/purpose/koudo/index.htm
レビューシート,2024,807,無線システム普及支援事業（地上基幹放送等に関する耐災害性強化支援事業）,15,総務省,総務省,情報流通行政局,,地上放送課,,,,1,事業主体：地上基幹放送事業者等、地方公共団体等　　　　　　　　　　補助対象：①停電対策、②予備設備の整備,'ア：地上基幹放送事業者等　1／３イ：地方公共団体等　１／２ウ：受信障害対策用中継局に係る事業を実施する場合において、条件不利地域かつ財政力指数０．５以下の市町村：２／３,,
レビューシート,2024,808,IoTの安心・安全かつ適正な利用環境の構築,15,総務省,総務省,サイバーセキュリティ統括官室,,,,,,1,,'「NOTICE」については、国立研究開発法人情報通信研究機構への定額補助として交付。,,
レビューシート,2024,810,仮想空間における電波模擬システム技術の高度化,15,総務省,総務省,総合通信基盤局,電波部,基幹・衛星移動通信課,基幹通信室,,,,,,,
レビューシート,2024,812,電波の利用状況調査・公表,15,総務省,総務省,総合通信基盤局,電波部,電波政策課,,,,,,,,
レビューシート,2024,814,国際会議への対応,15,総務省,総務省,国際戦略局,,国際戦略課,,,,,,,,
レビューシート,2024,815,国際電気通信連合（ITU）分担金・拠出金,15,総務省,総務省,国際戦略局,,国際戦略課,,,,,,,,
レビューシート,2024,816,経済協力開発機構（ＯＥＣＤ）への拠出,15,総務省,総務省,国際戦略局,,国際経済課,多国間経済室,,,,,,,
レビューシート,2024,817,アジア・太平洋電気通信共同体（APT）分担金・拠出金,15,総務省,総務省,国際戦略局,,国際展開課,,,,,,,,
レビューシート,2024,818,ICT発展に向けた日ASEAN共同調査・研究事業,15,総務省,総務省,国際戦略局,,国際展開課,,,,,,,,
レビューシート,2024,819,国際情報収集・分析、戦略的な国際情報発信等の実施,15,総務省,総務省,国際戦略局,,国際戦略課,,,,,,,,
レビューシート,2024,820,ICT海外展開パッケージ支援事業（令和５年第一次補正以降は安全性・信頼性を確保したデジタルインフラの海外展開支援事業）,15,総務省,総務省,国際戦略局,,国際展開課,,,,,,,,
レビューシート,2024,822,郵政行政における適正な監督,15,総務省,総務省,情報流通行政局,郵政行政部,企画課,,,,,,,,
レビューシート,2024,823,郵政行政に係る国際政策の推進に必要な情報収集,15,総務省,総務省,情報流通行政局,郵政行政部,郵便課,国際企画室,,,,,,,
レビューシート,2024,824,国際機関への貢献,15,総務省,総務省,情報流通行政局,郵政行政部,郵便課,国際企画室,,,,,,,
レビューシート,2024,827,沖縄振興推進調査費,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（産業振興担当）,,,,,,,,
レビューシート,2024,828,危険物事故防止対策の推進,15,総務省,消防庁,消防庁,,予防課,危険物保安室,,,,,,,
レビューシート,2024,829,不発弾等処理交付金,15,総務省,総務省,大臣官房,,総務課,管理室,,,1,地方公共団体,'地方公共団体が実施する埋没不発弾等を処理するための工事に係る経費の２分の１を補助【50%】※不発弾等が発見されなかった場合は、４分の１を補助【25%】※一件の工事に要する経費が200万円以上のものが対象,,
レビューシート,2024,830,コンビナート災害対策等の推進,15,総務省,消防庁,消防庁,,予防課,特殊災害室,,,,,,,
レビューシート,2024,831,平和祈念展示等経費,15,総務省,総務省,大臣官房,,総務課,管理室,,,,,,,
レビューシート,2024,832,恩給支給事業,15,総務省,総務省,政策統括官（恩給担当）室,,恩給管理官室,恩給経理官室,,,,,,,
レビューシート,2024,833,統計調査の実施等事業（経常調査等）,15,総務省,総務省,統計局,統計調査部,調査企画課,,,,,,,,
レビューシート,2024,834,統計調査の実施等事業（周期調査）,15,総務省,総務省,統計局,統計調査部,調査企画課,,,,,,,,
レビューシート,2024,835,統計専任職員配置事業,15,総務省,総務省,政策統括官（統計制度担当）室,,統計企画管理官室,,,,,,,,
レビューシート,2024,836,国連アジア太平洋統計研修所運営事業,15,総務省,総務省,政策統括官（統計制度担当）室,,国際統計管理官室,国際研修協力官室,,,,,,,
レビューシート,2024,837,統計情報提供事業,15,総務省,総務省,統計局,,統計情報システム管理官,,,,,,,,
レビューシート,2024,838,緊急消防援助隊設備整備費補助事業,15,総務省,消防庁,消防庁,,消防・救急課,,,,1,○補助対象団体緊急消防援助隊として登録する地方公共団体（消防本部等）○補助対象設備・ 災害対応特殊消防ポンプ自動車、救助工作車、災害対応特殊救急自動車、救助消防ヘリコプター及び被災地における長期間の活動を安全かつ効果的に行うことを可能にするための支援車等・ 地震災害時の人命検索・救助活動に必要な高度探査装置といった高度救助用資機材等・ 緊急消防援助隊の活動を円滑にするための消防救急デジタル無線設備,'「国が行う補助の対象となる緊急消防援助隊の施設の基準額（平成16年３月30日総務省告示第281号）」で定める基準額の２分の１,,
レビューシート,2024,839,食料安全保障に関するワークショップ開催に要する経費,17,外務省,外務省,経済局,,政策課,資源安全保障室,,,,,,,
レビューシート,2024,840,消防団等地域防災力の充実強化,15,総務省,消防庁,消防庁,国民保護・防災部,防災課,地域防災室,,,1,市町村等,'1/3,,
レビューシート,2024,841,Jアラートによる緊急情報の伝達体制の強化,15,総務省,消防庁,消防庁,国民保護・防災部,防災課,国民保護運用室,,,,,,,
レビューシート,2024,842,地方公共団体における消防防災体制の充実強化,15,総務省,消防庁,消防庁,国民保護・防災部,防災課,防災情報室,,,,,,,
レビューシート,2024,843,火災予防の推進,15,総務省,消防庁,消防庁,,予防課,,,,,,,,
レビューシート,2024,844,防災・減災のためのリモートセンシング技術による高精度データの収集・分析・配信技術の開発及び基盤の整備／（令和５年度第一次補正においてはリモートセンシング技術のユーザー最適型データ提供に関する研究開発）,15,総務省,総務省,国際戦略局,,技術政策課,研究推進室,,,1,国立研究開発法人情報通信研究機構が委託するマルチパラメータ・フェーズドアレイ気象レーダーの製造・設置について、当該経費の全額を補助,'100％,"3,000万円",
レビューシート,2024,846,消防の科学技術に関する研究開発に関する事業,15,総務省,消防庁,消防庁消防大学校,消防研究センター,,,,,,,,,
レビューシート,2024,847,公害紛争処理等に必要な経費,15,総務省,公害等調整委員会,公害等調整委員会事務局,,総務課,,,,,,,,
レビューシート,2024,849,国際統計協会分担金,15,総務省,総務省,政策統括官（統計制度担当）室,,国際統計管理官室,,,,,,,,
レビューシート,2024,850,アジア地域行政会議分担金,15,総務省,総務省,自治大学校,研究部,,,,,,,,,
レビューシート,2024,851,総務本省施設整備費（型式検定の試験に要する施設等の整備）,15,総務省,総務省,総合通信基盤局,電波部,電波環境課,,,,,,,,
レビューシート,2024,852,国立研究開発法人情報通信研究機構運営費交付金,15,総務省,総務省,国際戦略局,,技術政策課,,,,,,,,
レビューシート,2024,853,国立研究開発法人情報通信研究機構施設整備費補助金,15,総務省,総務省,国際戦略局,,技術政策課,,,,1,国立研究開発法人情報通信研究機構が行う機構施設・設備の整備を実施するための事業,'予算の範囲内で定額,,
レビューシート,2024,854,独立行政法人統計センター運営事業,15,総務省,総務省,統計局,,総務課,,,企画調整係,,,,,
レビューシート,2024,855,政党助成事務委託費,15,総務省,総務省,自治行政局,選挙部,政治資金課,政党助成室,,,,,,,
レビューシート,2024,858,消防防災施設整備費補助金,15,総務省,消防庁,消防庁,,消防・救急課,,,,1,①耐震性貯水槽、②備蓄倉庫（地域防災拠点施設）、③防火水槽（林野分）、 ④救助活動等拠点施設等、⑤活動火山対策避難施設、⑥画像伝送システム（施設分）、⑦広域訓練拠点施設、⑧救急安心センター等整備事業、⑨高機能消防指令センター総合整備事業,'補助基準額の１／３（ただし、①及び⑥については１／２）,,
レビューシート,2024,859,グローバル量子暗号通信網構築のための衛星量子暗号通信の研究開発,15,総務省,総務省,国際戦略局,,宇宙通信政策課,,,,,,,,
レビューシート,2024,860,放送コンテンツ等のネット配信の促進に関する調査研究,15,総務省,総務省,情報流通行政局,,情報通信作品振興課,,,,,,,,
レビューシート,2024,863,5G高度化等に向けた総合的・戦略的な国際標準化・知財活動の促進(令和7年度要求では、Beyond 5Gの実現に向けた総合的・戦略的な国際標準化・知財活動の促進),15,総務省,総務省,国際戦略局,,通信規格課,,,,,,,,
レビューシート,2024,864,5G高度化等に向けた国際連携推進事業,15,総務省,総務省,国際戦略局,,参事官,,,,,,,,
レビューシート,2024,866,新事業創出・食品産業課題解決調査・実証等事業,21,農林水産省,農林水産省,大臣官房,新事業・食品産業部,新事業・食品産業政策課,,,,1,事業の概要② フードテックビジネス実証事業,'補助事業者が実施する公募、審査、採択、事業者への補助金交付、横展開に向けた情報発信等について、当該経費を補助【補助率：定額】間接補助事業者が実施するフードテック等を活用したビジネスモデル実証について、当該経費の一部を補助【補助率：1／2】https://www.maff.go.jp/j/supply/hozyo/kanbo/attach/pdf/220225_014-1-5.pdf,"（※補助上限額：1,500万円）",
レビューシート,2024,866,新事業創出・食品産業課題解決調査・実証等事業,21,農林水産省,農林水産省,大臣官房,新事業・食品産業部,新事業・食品産業政策課,,,,2,事業の概要③ 食人事業者等による営業改善ビジネスの国際展開支援,'定額,,
レビューシート,2024,866,新事業創出・食品産業課題解決調査・実証等事業,21,農林水産省,農林水産省,大臣官房,新事業・食品産業部,新事業・食品産業政策課,,,,3,事業の概要⑤ 加工食品の国際標準化事業,'定額,,
レビューシート,2024,867,グリーン社会に資する先端光伝送技術の研究開発,15,総務省,総務省,国際戦略局,,技術政策課,研究推進室,,,,,,,
レビューシート,2024,869,地域セキュリティコミュニティ強化支援事業,15,総務省,総務省,サイバーセキュリティ統括官室,,,,,,,,,,
レビューシート,2024,872,電気通信事故に関する原因究明機能等の強化事業,15,総務省,総務省,総合通信基盤局,電気通信事業部,安全・信頼性対策課,,,,,,,,
レビューシート,2024,873,サイバー攻撃インフラ検知等の積極的セキュリティ対策総合実証,15,総務省,総務省,サイバーセキュリティ統括官室,,,,,,,,,,
レビューシート,2024,874,多国間枠組におけるデータ流通等に係る連携強化事業,15,総務省,総務省,国際戦略局,,参事官,,,,,,,,
レビューシート,2024,875,郵便局等の公的地域基盤連携推進事業,15,総務省,総務省,情報流通行政局,郵政行政部,企画課,,,,,,,,
レビューシート,2024,876,デジタルインフラの安全性・信頼性確保に向けた国際連携事業／（旧：グローバル・デジタル連結性の実現に向けた日米連携事業）,15,総務省,総務省,国際戦略局,,参事官,,,,,,,,
レビューシート,2024,877,民事基本法制の整備,16,法務省,法務省,民事局,,総務課,,,給与係,,,,,
レビューシート,2024,878,司法書士試験等国家試験の実施,16,法務省,法務省,民事局,,総務課,,,給与係,,,,,
レビューシート,2024,879,刑事基本法制の整備,16,法務省,法務省,刑事局,,総務課,,,予算第二係,,,,,
レビューシート,2024,880,日本司法支援センターの運営（国選弁護人確保業務委託を除く）,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,総合法律支援第一係,,,,,
レビューシート,2024,881,国選弁護人確保業務委託,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,総合法律支援第一係,,,,,
レビューシート,2024,882,司法試験の実施,16,法務省,法務省,大臣官房,,人事課,,,司法試験第一係,,,,,
レビューシート,2024,883,裁判外紛争解決手続（ＡＤＲ）認証制度実施,16,法務省,法務省,大臣官房,司法法制部,審査監督課,,,紛争解決業務認証第二係,,,,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,,,,,
レビューシート,2024,885,国際仲裁活性化基盤整備,16,法務省,法務省,大臣官房,,国際課,,,国際政策第二係,,,,,
レビューシート,2024,886,法務に関する調査研究,16,法務省,法務省,法務総合研究所,総務企画部,総務課,,,経理係,,,,,
レビューシート,2024,887,再犯の防止等の推進（地方公共団体における再犯防止の取組の促進、広報・啓発活動等）,16,法務省,法務省,大臣官房,,秘書課,企画再犯防止推進室,,,1,都道府県,'１／２,１５０万円,
レビューシート,2024,889,選挙事犯の取締り対応,16,法務省,法務省,刑事局,,総務課,,,予算第二係,,,,,
レビューシート,2024,890,検察事務処理への対応,16,法務省,法務省,刑事局,,総務課,,,予算第二係,,,,,
レビューシート,2024,893,各種犯罪への対応,16,法務省,法務省,刑事局,,総務課,,,予算第二係,,,,,
レビューシート,2024,894,改善更生・円滑な社会復帰に向けた矯正処遇及び社会復帰支援の実施,16,法務省,法務省,矯正局,,総務課,,,予算係,,,,,
レビューシート,2024,895,矯正施設の保安及び処遇体制の整備,16,法務省,法務省,矯正局,,総務課,,,予算係,,,,,
レビューシート,2024,896,開かれた矯正に向けた取組の実施,16,法務省,法務省,矯正局,,総務課,,,予算係,,,,,
レビューシート,2024,898,被収容者生活関連業務の維持,16,法務省,法務省,矯正局,,総務課,,,予算係,,,,,
レビューシート,2024,901,ＰＦＩ手法、公サ法を活用した刑事施設の民間委託運営,16,法務省,法務省,矯正局,,総務課,,,予算係,,,,,
レビューシート,2024,905,保護観察対象者等の改善更生等,16,法務省,法務省,保護局,,総務課,,,予算係,1,更生保護法人が行う更生保護施設整備事業（事業概要③）,'３分の２,更生保護施設整備事業に必要な経費の３分の２に相当する額,https://elaws.e-gov.go.jp/document?lawid=418M60000010048
レビューシート,2024,905,保護観察対象者等の改善更生等,16,法務省,法務省,保護局,,総務課,,,予算係,2,更生保護法人が行う身元保証事業（事業概要④）,'２分の１,身元保証事業に必要な経費の２分の１に相当する額,https://elaws.e-gov.go.jp/document?lawid=418M60000010048
レビューシート,2024,911,医療観察対象者の社会復帰,16,法務省,法務省,保護局,,総務課,,,予算係,,,,,
レビューシート,2024,912,破壊的団体等の規制に関する調査等を通じた公共の安全の確保を図るための業務の実施,16,法務省,公安調査庁,,総務部,総務課,,,予算第一・第二係,,,,,
レビューシート,2024,913,オウム真理教に対する観察処分の実施,16,法務省,公安調査庁,,総務部,総務課,,,予算第一・第二係,,,,,
レビューシート,2024,914,公安情報電算機処理システムの整備・運用,16,法務省,公安調査庁,,総務部,総務課,,,予算第一・第二係,,,,,
